actor,movie_count
Florence Pugh,15
Elle Fanning,15
Alexander Skarsgård,15
Jackie Chan,15
Tye Sheridan,15
Dan Stevens,15
Sienna Miller,15
Nat Wolff,15
Anya Taylor-Joy,15
Patrick Wilson,15
Laurence Fishburne,15
Jena Malone,15
Jamie Foxx,15
Theo James,15
Bill Hader,15
Owen Wilson,15
Virginie Efira,15
Charlotte Rampling,15
Vincent Cassel,15
Keira Knightley,15
Boyd Holbrook,15
Jun Fukuyama,15
Stephen Graham,15
Alison Brie,15
Romain Duris,15
Debbie Rochon,15
Aubrey Plaza,15
Gil Dong,15
Ben Foster,15
Anupam Kher,15
Alexa PenaVega,14
LaKeith Stanfield,14
Kim Ji-ah,14
Leonardo Sbaraglia,14
Dave Franco,14
Robb Guinto,14
Chris Spinelli,14
Catherine Keener,14
Danielle Harris,14
Ha Jung-woo,14
Johnny Knoxville,14
Jean-Claude Van Damme,14
Yumi Kakazu,14
Megumi Oohara,14
Barbara Crampton,14
Masahiro Higashide,14
Rachel McAdams,14
Alfredo Castro,14
Jerry O'Connell,14
Stanley Tucci,14
Sylvester Stallone,14
Rajatabha Dutta,14
Rikiya Koyama,14
Meryl Streep,14
Tobias Moretti,14
Karen Gillan,14
Masaki Suda,14
Jack Kilmer,14
Tom Wilkinson,14
Do Mo-se,14
Ed Asner,14
Jenna Ortega,14
Michael Keaton,14
Nikolaj Coster-Waldau,14
Mayumi Tanaka,14
Akemi Okamura,14
Will Ferrell,14
Margaret Qualley,14
Alice Eve,14
Chiwetel Ejiofor,14
Jennifer Garner,14
Thomas Mann,14
Benoît Magimel,14
Robert LaSardo,14
Saoirse Ronan,14
Andy Lau,14
Jesse Plemons,14
Bill Oberst Jr.,14
Aaron Eckhart,14
Anders Baasmo Christiansen,14
Jessica Morris,14
John Rhys-Davies,14
Rebecca Ferguson,14
Charlize Theron,14
Jennifer Lopez,14
Àlex Brendemühl,14
Adèle Exarchopoulos,14
Taryn Manning,14
James Cosmo,14
Alexis Manenti,14
Helen Mirren,14
Alexandra Shipp,14
Mark Hamill,14
Ben Mendelsohn,14
Brad Pitt,14
Felicity Jones,14
Michael B. Jordan,14
Josh Hutcherson,14
Emma Roberts,14
Josh Gad,14
Tom Kenny,14
Abigail Breslin,14
Adam Brody,14
Nawazuddin Siddiqui,14
Shailene Woodley,14
Jason Momoa,14
Simon Phillips,14
Famke Janssen,14
Kane Hodder,14
Jeremy Irons,14
Tenoch Huerta Mejía,13
Jane Fonda,13
Ken Jeong,13
Olivia Wilde,13
Hwang Jung-min,13
Beto Kusyairy,13
Joe Swanberg,13
Jason Bateman,13
Trine Dyrholm,13
Armie Hammer,13
Hailee Steinfeld,13
Rainer Bock,13
Peter Dinklage,13
Natsuki Hanae,13
Daniel Radcliffe,13
Reese Witherspoon,13
Timothy Spall,13
Sarah French,13
Matthias Schweighöfer,13
Vera Farmiga,13
Jon Bernthal,13
Jesse Eisenberg,13
Maaya Uchida,13
Brian Tyree Henry,13
Bill Moseley,13
Liam Hemsworth,13
Martin Freeman,13
Peter Vack,13
Niels Schneider,13
Stacy Martin,13
Ingrid García Jonsson,13
Saori Hayami,13
John Savage,13
Caleb Landry Jones,13
Paul Rudd,13
Salma Hayek Pinault,13
Richard Riehle,13
Park Do-jin,13
Charlotte Gainsbourg,13
Demián Bichir,13
Taron Egerton,13
Dylan O'Brien,13
Robert Downey Jr.,13
Ayane Sakura,13
Golshifteh Farahani,13
Tiffany Haddish,13
Vincent D'Onofrio,13
Laure Calamy,13
Joaquin Phoenix,13
Steve Buscemi,13
Olivia Colman,13
Christoph Waltz,13
Brad Dourif,13
Léa Seydoux,13
Mélanie Laurent,13
Yoo Sul-young,13
Awkwafina,13
Shamaine Buencamino,13
Miles Teller,13
Ashley Greene,13
Gemma Arterton,13
Alexandra Daddario,13
Milan Peschel,13
Henry Cavill,13
Eric Bauza,13
Sarah Snook,13
Paul Dano,13
Juno Temple,13
Adil Hussain,13
Jim Cummings,13
Christine Bermas,13
Akira Ishida,13
Achyuth Kumar,13
Zachary Levi,13
Juliette Binoche,13
Aaron Paul,13
Diane Kruger,13
Andy Garcia,13
Gael García Bernal,13
Nicky Whelan,13
Mark Anthony Fernandez,13
Ryo Yoshizawa,13
Booboo Stewart,13
David Harbour,13
Tiffany Shepis,13
Maika Monroe,13
Ulrich Tukur,13
Ryan Gosling,13
Ed Helms,13
Kento Yamazaki,13
Gugu Mbatha-Raw,13
Miyuki Sawashiro,13
Remy Ishak,13
Udo Kier,13
Karin Viard,13
Denise Richards,13
Tara Reid,13
Ryan Phillippe,13
Josh Duhamel,13
Sharlto Copley,13
Keegan-Michael Key,13
Colm Meaney,13
Christian Slater,13
Zoë Kravitz,12
Malcolm McDowell,12
Denzel Washington,12
Annalise Basso,12
Kumud Pant,12
Richard Armitage,12
Terrence Howard,12
Sara Canning,12
Selena Gomez,12
Jamie Kennedy,12
Jacob Tremblay,12
Isabela Merced,12
Luke Wilson,12
Tommy Lee Jones,12
Stellan Skarsgård,12
Danielle Chuchran,12
Jennifer Aniston,12
Malin Åkerman,12
Timothée Chalamet,12
John Goodman,12
Jaeden Martell,12
Bryce Dallas Howard,12
Asami,12
Brian Krause,12
Joem Bascon,12
Javier Gutiérrez,12
Michiel Huisman,12
Sofia Boutella,12
John Travolta,12
Aaron Taylor-Johnson,12
Bront Palarae,12
Nobuhiko Okamoto,12
Valerio Mastandrea,12
Zoey Deutch,12
Marion Cotillard,12
Adam Woronowicz,12
Tim Blake Nelson,12
Jeffrey Wright,12
Alessandro Nivola,12
Lindsay Burdge,12
Cillian Murphy,12
Christopher Abbott,12
Rosamund Pike,12
Ikue Otani,12
David Arquette,12
Katherine McNamara,12
Toni Servillo,12
Iris Berben,12
Yoo Hai-jin,12
Isla Fisher,12
Noel Gugliemi,12
Billy Blair,12
Abbie Cornish,12
Mike Epps,12
Ron Livingston,12
Michael Kenneth Williams,12
