tmdb_id,title,original_title,overview,tagline,release_date,release_year,release_month,original_language,spoken_languages,genres,runtime_minutes,popularity,vote_average,vote_count,adult,cast,director,production_countries,collection_name,retrieval_month
744973,Supercell,Supercelda,"A storm is forming over the Nueva Córdoba neighborhood, while the statements of a former Canadian defense minister invite us on a journey into the unknown.",A storm is coming when the speech of a former defense minister start.,2020-09-20,2020,9,en,,Documentary,10,1.7848,0.0,0,False,"Paul Hellyer,Donald Trump,Vladimir Putin,Jacques Vallée",Fernando Lacolla,,,2020-09-01
659983,Appearances,Les Apparences,"Ève and Henri are among the happy few of the French community in Vienna. They are “la crème de la crème”. The perfect picture crumbles when Ève discovers that Henri is cheating on her. On an impulse, she finds revenge with Jonas, a perfect young Austrian guy. But he’s not who she thought he was. This will lead them to an irreversible spiral.",,2020-09-23,2020,9,fr,fr,"Thriller,Drama,Crime",108,5.6865,5.793,121,False,"Lucas Englander,Karin Viard,Pascale Arbillot,Benjamin Biolay,Laetitia Dosch",Marc Fitoussi,"BE,FR",,2020-09-01
648723,Whipped,Bucin,Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.,Patience is a Key,2020-09-18,2020,9,id,id,"Comedy,Drama,Romance",97,2.4449,5.9,9,False,"Andovi da Lopez,Jovial Da Lopez,Tommy Limmm,Chandra Liow,Susan Sameh",Chandra Liow,ID,,2020-09-01
676372,Lie Exposed,Lie Exposed,"Melanie (Leslie Hope) has a good, solid life, but when she’s diagnosed with cancer, her world spirals out of control. Instead of confronting her disease, she leaves her husband (Bruce Greenwood) and heads out for a bender while searching for the meaning of life. During her trip she meets a mysterious, erotic photographer (Jeff Kober) and agrees to throw caution to the wind and pose for him. This opens up dangerous choices revealed in a surprising show that ignites passionate, provocative emotions and incendiary repercussions through not only her life, but her friends and family.",,2020-09-25,2020,9,en,en,Drama,93,2.616,3.625,8,False,"Leslie Hope,Bruce Greenwood,Benjamin Ayres,Megan Follows,Jeff Kober",Jerry Ciccoritti,CA,,2020-09-01
716307,Bitter Melons,Bitter Melons,"Sophia, a female line cook is tasked with delivering bitter melons to her estranged father. The delivery doesn't go as planned, but through personal encounters and challenges involving the bitter melons, she is forced to confront her past and connect with her heart, tribe, and cultural roots.",,2020-09-16,2020,9,en,en,Drama,26,1.9059,0.0,0,False,"Pisay Pao,Japhet Balaban,Tae Chorub,Channy Laux,Hector L. Vargas",Thavary Krouch,US,,2020-09-01
479259,Lost Girls & Love Hotels,Lost Girls & Love Hotels,"Searching for escape in Tokyo's back alleys, a haunted English teacher explores love and lust with a dashing Yakuza, as their tumultuous affair takes her on a journey through the city's dive bars and three-hour love hotels.",,2020-09-18,2020,9,en,"ja,en",Drama,97,2.2277,5.4,200,False,"Alexandra Daddario,Takehiro Hira,Carice van Houten,Dasha Teranishi,Mariko Tsutsui",William Olsson,"US,SE",,2020-09-01
750620,FUN.,FUN.,"In a desperate attempt to rekindle their marriage, Abby and Sam escape to a quaint bed and breakfast in the middle of nowhere - only to find their marriage isn't the only thing they will be fighting to keep alive.",,2020-09-25,2020,9,en,en,Horror,96,1.9141,7.0,1,False,"Robbie Barnes,Kinsley Funari,Matt Rossman,Parrish Randall,George Tutie",Kinsley Funari,US,,2020-09-01
744993,Nora,Nora,"Nora is 30 years old; she lives with her Argentinian grandfather Nicolás and regularly takes care of her friend Meri's children. She writes the horoscope for the town newspaper, although her dream is to be a travel writer. When her grandfather dies, she inherits an old Dyane 6. Despite being a terrible driver, Nora will set out aimlessly on a road trip along the Basque coast so that her grandfather's ashes may finally rest beside those of her grandmother. The road will soon teach her that she's not a born traveller and that her dream had nothing to do with roving, but was only an excuse for the chance to be free, to grow, to close wounds and, for the first time, to find her own happiness.",A woman finds her own happiness.,2020-09-03,2020,9,eu,"es,fr,en,eu",Drama,100,2.0401,6.0,6,False,"Ane Pikaza,Héctor Alterio,Ramón Barea,Klara Badiola,Naiara Carmona",Lara Izagirre,"FR,ES",,2020-09-01
698403,Gossamer Folds,Gossamer Folds,"Gossamer Folds is a story about finding family and acceptance where you least expect it. Set in 1986, ten-year-old Tate is uprooted and unwillingly moved to the suburbs of Kansas City. As his parents’ marriage unravels, Tate finds solace in the unlikely friendships of his next-door neighbors: a retired college professor and his transgender daughter, Gossamer.",Unexpected friendships,2020-09-17,2020,9,en,en,Drama,96,5.6585,4.3,3,False,"Jackson Robert Scott,Alexandra Grey,Sprague Grayden,Franklin Ojeda Smith,Shane West",Lisa Donato,US,,2020-09-01
728103,Sportin' Life,Sportin' Life,"Sportin’ Life is the sixth incarnation of the international art project Self, curated by Saint Laurent’s creative director, Anthony Vaccarello. This project is an artistic commentary on society while emphasizing the complexity of various individuals through the eyes of artists who evoke the Saint Laurent attitude of confidence, individuality and self-expression. The documentary is an exploration into the sources and personal history of creativity, the essential life of an artist. Raw and sharp, it has the feeling of a moment in time that is still happening. Abel Ferrara’s intimate and lush look at his own life, his world refracted through his art – music, filmmaking, his collaborators and inspirations such as Ferrara’s early works and his creative partnerships with Willem Dafoe, Joe Delia, Paul Hipp and the musicians who inspired this work.",,2020-09-06,2020,9,it,"en,it","Documentary,Music",65,3.8618,4.2,4,False,"Abel Ferrara,Willem Dafoe,Cristina Chiriac,Anna Ferrara,Joe Delia",Abel Ferrara,"FR,IT,GB",,2020-09-01
750638,Rag Doll,Rag Doll,"Although Yingying’s mother was killed in a modern day persecution and the little girl is alone on the streets of Northern China, an enchanted art form could reunite them. Enter a child’s world, where hope and imagination are more powerful than police batons or state-sponsored violence, where noble determination conquers all.","Amidst a deadly persecution, a determined orphan tries to bring her mother back to life through the power of art.",2020-09-24,2020,9,en,en,"Drama,Animation",18,3.107,10.0,1,False,"Susie Lee,Carolyn Yu,Leifennie,Serena Lee,Tony Bai",Leon Lee,CA,,2020-09-01
719410,Your Name Engraved Herein,刻在你心底的名字,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",Who is the one linger in your heart after all these years?,2020-09-30,2020,9,zh,"zh,en","Romance,Drama",115,2.8098,7.8,279,False,"Edward Chen,Tseng Jing-Hua,Leon Dai,Wang Shih-Sian,Fabio Grangeon",Liu Kuang-Hui,"CA,TW,US",,2020-09-01
